1       В       ADP     _       _       _       _       _
2       жизни   NOUN    _       _       _       _       _
3       Левы    NOUN    _       _       _       _       _
4       Одоевцева       NOUN    _       _       _       _       _
5       ,       PUNCT   _       _       _       _       _
6       из      ADP     _       _       _       _       _
7       тех     DET     _       _       _       _       _
8       самых   ADJ     _       _       _       _       _
9       Одоевцевых      NOUN    _       _       _       _       _
10      ,       PUNCT   _       _       _       _       _
11      не      PART    _       _       _       _       _
12      случалось       NOUN    _       _       _       _       _
13      особых  ADJ     _       _       _       _       _
14      потрясений      NOUN    _       _       _       _       _
15      -       NOUN    _       _       _       _       _
16      она     PRON    _       _       _       _       _
17      в       ADP     _       _       _       _       _
18      основном        ADJ     _       _       _       _       _
19      протекала       NOUN    _       _       _       _       _
20      .       PUNCT   _       _       _       _       _
1       Образно ADV     _       _       _       _       _
2       говоря  VERB    _       _       _       _       _
3       ,       PUNCT   _       _       _       _       _
4       нить    NOUN    _       _       _       _       _
5       его     PRON    _       _       _       _       _
6       жизни   NOUN    _       _       _       _       _
7       мерно   NOUN    _       _       _       _       _
8       струилась       NOUN    _       _       _       _       _
9       из      ADP     _       _       _       _       _
10      чьих-то NOUN    _       _       _       _       _
11      божественных    NOUN    _       _       _       _       _
12      рук     NOUN    _       _       _       _       _
13      ,       PUNCT   _       _       _       _       _
14      скользила       NOUN    _       _       _       _       _
15      меж     NOUN    _       _       _       _       _
16      пальцев NOUN    _       _       _       _       _
17      .       PUNCT   _       _       _       _       _
1       Без     ADP     _       _       _       _       _
2       излишней        NOUN    _       _       _       _       _
3       стремительности NOUN    _       _       _       _       _
4       ,       PUNCT   _       _       _       _       _
5       без     ADP     _       _       _       _       _
6       обрывов NOUN    _       _       _       _       _
7       и       CCONJ   _       _       _       _       _
8       узлов   NOUN    _       _       _       _       _
9       ,       PUNCT   _       _       _       _       _
10      она     PRON    _       _       _       _       _
11      ,       PUNCT   _       _       _       _       _
12      эта     DET     _       _       _       _       _
13      нить    NOUN    _       _       _       _       _
14      ,       PUNCT   _       _       _       _       _
15      находилась      VERB    _       _       _       _       _
16      в       ADP     _       _       _       _       _
17      ровном  ADJ     _       _       _       _       _
18      и       CCONJ   _       _       _       _       _
19      несильном       NOUN    _       _       _       _       _
20      натяжении       NOUN    _       _       _       _       _
21      и       CCONJ   _       _       _       _       _
22      лишь    PART    _       _       _       _       _
23      временами       NOUN    _       _       _       _       _
24      немного ADV     _       _       _       _       _
25      провисала       NOUN    _       _       _       _       _
26      .       PUNCT   _       _       _       _       _
1       Собственно      ADV     _       _       _       _       _
2       ,       PUNCT   _       _       _       _       _
3       и       CCONJ   _       _       _       _       _
4       принадлежность  NOUN    _       _       _       _       _
5       его     PRON    _       _       _       _       _
6       к       ADP     _       _       _       _       _
7       старому ADJ     _       _       _       _       _
8       и       CCONJ   _       _       _       _       _
9       славному        NOUN    _       _       _       _       _
10      русскому        ADJ     _       _       _       _       _
11      роду    NOUN    _       _       _       _       _
12      не      PART    _       _       _       _       _
13      слишком ADV     _       _       _       _       _
14      существенна     NOUN    _       _       _       _       _
15      .       PUNCT   _       _       _       _       _
1       Если    SCONJ   _       _       _       _       _
2       его     PRON    _       _       _       _       _
3       родителям       NOUN    _       _       _       _       _
4       еще     ADV     _       _       _       _       _
5       приходилось     VERB    _       _       _       _       _
6       вспоминать      VERB    _       _       _       _       _
7       и       CCONJ   _       _       _       _       _
8       определять      VERB    _       _       _       _       _
9       отношение       NOUN    _       _       _       _       _
10      к       ADP     _       _       _       _       _
11      своей   DET     _       _       _       _       _
12      фамилии NOUN    _       _       _       _       _
13      ,       PUNCT   _       _       _       _       _
14      то      PRON    _       _       _       _       _
15      это     PRON    _       _       _       _       _
16      было    AUX     _       _       _       _       _
17      в       ADP     _       _       _       _       _
18      давние  NOUN    _       _       _       _       _
19      годы    NOUN    _       _       _       _       _
20      ,       PUNCT   _       _       _       _       _
21      когда   SCONJ   _       _       _       _       _
22      Левы    NOUN    _       _       _       _       _
23      еще     ADV     _       _       _       _       _
24      не      PART    _       _       _       _       _
25      было    AUX     _       _       _       _       _
26      или     CCONJ   _       _       _       _       _
27      он      PRON    _       _       _       _       _
28      был     AUX     _       _       _       _       _
29      во      ADP     _       _       _       _       _
30      чреве   NOUN    _       _       _       _       _
31      .       PUNCT   _       _       _       _       _
1       А       CCONJ   _       _       _       _       _
2       у       ADP     _       _       _       _       _
3       самого  ADJ     _       _       _       _       _
4       Левы    NOUN    _       _       _       _       _
5       ,       PUNCT   _       _       _       _       _
6       с       ADP     _       _       _       _       _
7       тех     DET     _       _       _       _       _
8       пор     NOUN    _       _       _       _       _
9       как     SCONJ   _       _       _       _       _
10      он      PRON    _       _       _       _       _
11      себя    PRON    _       _       _       _       _
12      помнил  VERB    _       _       _       _       _
13      ,       PUNCT   _       _       _       _       _
14      уже     ADV     _       _       _       _       _
15      не      PART    _       _       _       _       _
16      возникало       VERB    _       _       _       _       _
17      в       ADP     _       _       _       _       _
18      этом    PRON    _       _       _       _       _
19      необходимости   NOUN    _       _       _       _       _
20      ,       PUNCT   _       _       _       _       _
21      и       CCONJ   _       _       _       _       _
22      был     AUX     _       _       _       _       _
23      он      PRON    _       _       _       _       _
24      скорее  ADV     _       _       _       _       _
25      однофамильцем   NOUN    _       _       _       _       _
26      ,       PUNCT   _       _       _       _       _
27      чем     SCONJ   _       _       _       _       _
28      потомком        NOUN    _       _       _       _       _
29      .       PUNCT   _       _       _       _       _
1       Он      PRON    _       _       _       _       _
2       был     AUX     _       _       _       _       _
3       Лева    NOUN    _       _       _       _       _
4       .       PUNCT   _       _       _       _       _
1       В       ADP     _       _       _       _       _
2       младенчестве    NOUN    _       _       _       _       _
3       ,       PUNCT   _       _       _       _       _
4       правда  ADV     _       _       _       _       _
5       (       PUNCT   _       _       _       _       _
6       Лева    NOUN    _       _       _       _       _
7       был     AUX     _       _       _       _       _
8       зачат   NOUN    _       _       _       _       _
9       в       ADP     _       _       _       _       _
10      роковом NOUN    _       _       _       _       _
11      году    NOUN    _       _       _       _       _
12      )       PUNCT   _       _       _       _       _
13      ,       PUNCT   _       _       _       _       _
14      случились       NOUN    _       _       _       _       _
15      с       ADP     _       _       _       _       _
16      ним     PRON    _       _       _       _       _
17      ,       PUNCT   _       _       _       _       _
18      вернее  ADV     _       _       _       _       _
19      с       ADP     _       _       _       _       _
20      его     PRON    _       _       _       _       _
21      родителями      NOUN    _       _       _       _       _
22      ,       PUNCT   _       _       _       _       _
23      кой-какие       NOUN    _       _       _       _       _
24      неприятные      NOUN    _       _       _       _       _
25      перемещения     NOUN    _       _       _       _       _
26      в       ADP     _       _       _       _       _
27      сторону NOUN    _       _       _       _       _
28      их      PRON    _       _       _       _       _
29      замечательного  NOUN    _       _       _       _       _
30      предка  NOUN    _       _       _       _       _
31      ,       PUNCT   _       _       _       _       _
32      так     ADV     _       _       _       _       _
33      сказать VERB    _       _       _       _       _
34      ,       PUNCT   _       _       _       _       _
35      "       PUNCT   _       _       _       _       _
36      во      ADP     _       _       _       _       _
37      глубину NOUN    _       _       _       _       _
38      сибирских       ADJ     _       _       _       _       _
39      руд     NOUN    _       _       _       _       _
40      "       PUNCT   _       _       _       _       _
41      .       PUNCT   _       _       _       _       _
