1.0	9	NOUN	анкета
1.0	3965	PUNCT	.
1.0	20	NOUN	начальник
1.0	1	ADJ	областной
1.0	21	NOUN	управление
1.0	22	NOUN	связь
1.0	48	PROPN	Семен
1.0	48	PROPN	Еремеевич
0.725	529	AUX	быть
0.275	201	VERB	быть
1.0	228	NOUN	человек
1.0	17	ADJ	простой
1.0	6945	PUNCT	,
1.0	6	VERB	приходить
1.0	999	ADP	на
1.0	85	NOUN	работа
1.0	45	ADV	всегда
1.0	5	ADV	вовремя
1.0	3	VERB	здороваться
1.0	722	ADP	с
1.0	8	NOUN	секретарша
1.0	220	ADP	за
1.0	80	NOUN	рука
0.868	1893	CCONJ	и
0.132	288	PART	и
1.0	15	ADV	иногда
1.0	70	PART	даже
1.0	34	VERB	писать
1.0	2098	ADP	в
1.0	1	NOUN	стенгазета
1.0	2	NOUN	заметка
1.0	77	ADP	под
1.0	1	NOUN	псевдоним
1.0	1039	PUNCT	""""
1.0	1	NOUN	муха
1.0	4	NOUN	приемная
1.0	655	PRON	он
1.0	13	NOUN	утро
1.0	17	VERB	ожидать
1.0	15	NOUN	посетитель
1.0	1290	PUNCT	-
1.0	2	PRON	кое-кто
1.0	27	ADJ	важный
1.0	76	NOUN	дело
0.993	402	CCONJ	а
0.007	3	INTJ	а
1.0	200	DET	такой
1.0	319	PRON	который
1.0	6	ADV	легко
1.0	106	ADV	можно
1.0	31	VERB	решить
1.0	1	ADJ	нижестоящий
1.0	2	NOUN	инстанция
1.0	917	PART	не
1.0	3	VERB	затруднять
1.0	56	ADV	однако
1.0	13	NOUN	стиль
1.0	6	VERB	заключаться
0.057	21	PART	то
0.753	278	PRON	то
0.19	70	SCONJ	то
1.0	106	SCONJ	чтобы
1.0	8	VERB	принимать
1.0	200	DET	весь
1.0	7	VERB	желать
1.0	3	ADV	лично
1.0	2	VERB	вникать
1.0	1	VERB	обставить
0.02	1	ADV	просто
0.98	48	PART	просто
1.0	285	CCONJ	но
1.0	1	ADV	по-деловому
1.0	208	ADP	у
1.0	18	NOUN	дверь
1.0	53	VERB	стоять
1.0	29	NOUN	стол
1.0	1	NOUN	машинка
1.0	18	ADJ	широкий
1.0	1	NOUN	каретка
1.0	8	NOUN	угол
1.0	7	VERB	висеть
1.0	1	NOUN	репродуктор
1.0	6	VERB	играть
1.0	2	NOUN	радио
1.0	297	ADP	для
1.0	1	NOUN	развлечение
1.0	147	ADV	еще
1.0	2	VERB	заглушать
1.0	19	NOUN	голос
1.0	2	VERB	доноситься
1.0	286	ADP	из
1.0	19	NOUN	кабинет
0.995	189	ADV	так
0.005	1	PART	так
0.266	96	ADV	как
0.734	265	SCONJ	как
1.0	1	ADV	бесспорно
1.0	20	ADP	среди
1.0	209	VERB	мочь
1.0	29	VERB	находиться
1.0	6	ADJ	случайный
1.0	8	VERB	отличаться
1.0	2	NOUN	скромность
1.0	2	ADJ	присущий
1.0	10	NOUN	глубина
1.0	7	ADJ	письменный
1.0	2	ADJ	бронзовый
1.0	2	NOUN	чернильница
1.0	45	ADP	перед
1.0	91	NUM	два
1.0	1	ADJ	кожаный
1.0	6	NOUN	кресло
1.0	2	ADV	справа
1.0	3	NOUN	заседание
1.0	13	ADJ	длинный
1.0	2	VERB	накрыть
1.0	5	ADJ	зеленый
1.0	1	NOUN	сукно
1.0	14	NUM	оба
1.0	54	NOUN	сторона
1.0	4	ADV	аккуратно
1.0	5	VERB	заставить
1.0	8	NOUN	стул
1.0	72	ADV	очень
1.0	15	VERB	любить
0.158	19	ADV	когда
0.842	101	SCONJ	когда
1.0	362	DET	этот
1.0	4	PRON	кто-нибудь
1.0	5	VERB	садиться
1.0	132	SCONJ	если
1.0	76	VERB	видеть
1.0	1	VERB	отодвинуть
1.0	1	ADV	собственноручно
1.0	1	VERB	подвигать
1.0	70	NOUN	место
1.0	1	NOUN	спинка
1.0	3	VERB	образовывать
1.0	6	ADJ	ровный
1.0	13	ADJ	прямой
1.0	8	NOUN	линия
1.0	193	DET	тот
1.0	42	NOUN	день
1.0	3	VERB	начинаться
1.0	86	DET	наш
1.0	4	NOUN	рассказ
1.0	62	NOUN	жизнь
1.0	1	VERB	протекать
1.0	13	ADV	обычно
1.0	30	VERB	ставить
1.0	1	ADJ	сургучный
1.0	3	NOUN	печать
1.0	4	NOUN	пакет
1.0	204	DET	свой
1.0	33	NOUN	очередь
1.0	1	ADJ	сентиментальный
1.0	1	NOUN	вальс
1.0	3	ADV	ровно
1.0	14	NUM	десять
1.0	15	NOUN	час
1.0	1	VERB	раздаться
1.0	13	ADJ	короткий
1.0	4	NOUN	звонок
1.0	11	ADJ	быстрый
1.0	12	NOUN	минута
1.0	3	VERB	скрыться
1.0	1	VERB	проговорить
1.0	9	VERB	вернуться
1.0	293	PUNCT	:
1.0	18	NOUN	товарищ
1.0	37	PROPN	Ефимова
1.0	7	ADV	пожалуйста
1.0	13	ADJ	молодой
1.0	27	NOUN	женщина
1.0	1	ADJ	кокетливый
1.0	3	NOUN	шляпка
1.0	33	VERB	пройти
1.0	346	PRON	она
1.0	8	ADV	видимо
1.0	4	VERB	волноваться
1.0	53	ADV	потому
0.3	230	PRON	что
0.7	537	SCONJ	что
1.0	9	VERB	забыть
